id,frequency_hz,note,plate_type,m_index,n_index,symmetry,node_count,antinode_count,complexity,visual_description,color_hex
CHLAD-CSV-001,20.0,E0,Square,1,1,C4v,2,4,Low,Infrasonic X-pattern — theoretical lowest Chladni mode on very large plate,#191970
CHLAD-CSV-002,28.0,A0,Square,1,1,C4v,2,4,Low,Diagonal X on extra-large 50cm plate — very low bass mode,#1C3A6B
CHLAD-CSV-003,45.0,F#1,Square,1,1,C4v,2,4,Low,Simple X pattern on 40cm steel plate — two diagonal nodal lines,#4169E1
CHLAD-CSV-004,55.0,A1,Circular,0,1,C_inf_v,1,2,Low,Single concentric ring on 30cm plate — breathing mode,#4682B4
CHLAD-CSV-005,65.0,C2,Square,1,2,C2v,3,4,Low,Asymmetric T-bar nodal pattern — one line plus stub,#2E8B57
CHLAD-CSV-006,73.0,D2,Circular,1,0,C2v,1,2,Low,Single diameter line bisecting circular plate,#8B4513
CHLAD-CSV-007,82.0,E2,Square,1,2,C2v,3,4,Low,Modified T-shape with slight diagonal lean on mid-size plate,#556B2F
CHLAD-CSV-008,87.0,F2,Hexagonal,1,1,C6v,6,7,Low,Six-lobe ring — lowest hexagonal plate mode,#228B22
CHLAD-CSV-009,98.0,G2,Square,1,1,C4v,2,4,Low,Classic diagonal X on 30cm aluminum plate,#C0C0C0
CHLAD-CSV-010,110.0,A2,Square,2,2,C4v,4,9,Medium,Central diamond hash-mark pattern on 40cm steel plate,#8B4513
CHLAD-CSV-011,123.0,B2,Square,1,2,C2v,3,4,Low,Three-line T-pattern producing two unequal lobes,#6B8E23
CHLAD-CSV-012,131.0,C3,Square,2,3,C2v,7,8,Medium,Five-line irregular lattice with elongated rectangular cells,#228B22
CHLAD-CSV-013,131.0,C3,Hexagonal,2,1,C6v,12,13,Medium,Stunning snowflake with six radial arms and connecting ring,#87CEEB
CHLAD-CSV-014,146.0,D3,Circular,2,0,C4v,2,4,Low,Two perpendicular diameters forming a cross on 30cm plate,#228B22
CHLAD-CSV-015,165.0,E3,Square,1,1,C4v,2,4,Low,Compact X on small 20cm steel plate,#4682B4
CHLAD-CSV-016,164.0,E3,Circular,0,2,C_inf_v,2,3,Medium,Two nested concentric rings — three alternating zones,#9370DB
