id,note,frequency_hz,octave,wavelength_m,period_ms,midi_number,hearing_range_zone,color_hex,chakra,brainwave,special_name,chladni_ref,cymatics_ref
NOTE-A0,A0,27.5,0,12.4727,36.3636,21,sub-bass,#1A0533,Third Eye,,,,
NOTE-A#0,A#0,29.14,0,11.7708,34.3171,22,sub-bass,#1A0533,,,,,
NOTE-B0,B0,30.87,0,11.1111,32.3939,23,sub-bass,#1A0533,Crown,,,,
NOTE-C1,C1,32.7,1,10.4893,30.581,24,sub-bass,#1A0533,Root,,,,
NOTE-C#1,C#1,34.65,1,9.899,28.86,25,sub-bass,#1A0533,,,,,
NOTE-D1,D1,36.71,1,9.3435,27.2405,26,sub-bass,#1A0533,Sacral,,,,
NOTE-D#1,D#1,38.89,1,8.8197,25.7136,27,sub-bass,#1A0533,,,,,
NOTE-E1,E1,41.2,1,8.3252,24.2718,28,sub-bass,#2D0B6B,Solar Plexus,,,,
NOTE-F1,F1,43.65,1,7.858,22.9095,29,sub-bass,#2D0B6B,Heart,,,,
NOTE-F#1,F#1,46.25,1,7.4162,21.6216,30,sub-bass,#2D0B6B,,,,,
NOTE-G1,G1,49.0,1,7.0,20.4082,31,sub-bass,#2D0B6B,Throat,,,,
NOTE-G#1,G#1,51.91,1,6.6076,19.2641,32,sub-bass,#2D0B6B,,,,,
NOTE-A1,A1,55.0,1,6.2364,18.1818,33,sub-bass,#2D0B6B,Third Eye,,,,
NOTE-A#1,A#1,58.27,1,5.8864,17.1615,34,sub-bass,#2D0B6B,,,,,
NOTE-B1,B1,61.74,1,5.5556,16.197,35,sub-bass,#2D0B6B,Crown,,,,
NOTE-C2,C2,65.41,2,5.2438,15.2882,36,sub-bass,#2D0B6B,Root,,,,
NOTE-C#2,C#2,69.3,2,4.9495,14.43,37,sub-bass,#2D0B6B,,,,,
NOTE-D2,D2,73.42,2,4.6718,13.6203,38,sub-bass,#2D0B6B,Sacral,,,,
NOTE-D#2,D#2,77.78,2,4.4099,12.8568,39,sub-bass,#2D0B6B,,,,,
NOTE-E2,E2,82.41,2,4.1621,12.1344,40,bass,#1E3A8A,Solar Plexus,,,,
NOTE-F2,F2,87.31,2,3.9285,11.4534,41,bass,#1E3A8A,Heart,,,,
NOTE-F#2,F#2,92.5,2,3.7081,10.8108,42,bass,#1E3A8A,,,,,
NOTE-G2,G2,98.0,2,3.5,10.2041,43,bass,#1E3A8A,Throat,,,,
NOTE-G#2,G#2,103.83,2,3.3035,9.6311,44,bass,#1E3A8A,,,,,
NOTE-A2,A2,110.0,2,3.1182,9.0909,45,bass,#1E3A8A,Third Eye,,,,
NOTE-A#2,A#2,116.54,2,2.9432,8.5807,46,bass,#1E3A8A,,,,,
NOTE-B2,B2,123.47,2,2.778,8.0991,47,bass,#1E5F74,Crown,,,,
NOTE-C3,C3,130.81,3,2.6221,7.6447,48,bass,#1E5F74,Root,,,,
NOTE-C#3,C#3,138.59,3,2.4749,7.2155,49,bass,#1E5F74,,,,,
NOTE-D3,D3,146.83,3,2.336,6.8106,50,bass,#1E5F74,Sacral,,,,
NOTE-D#3,D#3,155.56,3,2.2049,6.4284,51,bass,#1E5F74,,,,,
NOTE-E3,E3,164.81,3,2.0812,6.0676,52,bass,#1E5F74,Solar Plexus,,,,
NOTE-F3,F3,174.61,3,1.9644,5.727,53,bass,#1E5F74,Heart,,,,
NOTE-F#3,F#3,185.0,3,1.8541,5.4054,54,bass,#0F766E,,,,,
